feature,dtype_train,dtype_test,n_train_rows,n_test_rows,n_train_nonnull,n_test_nonnull,train_nonnull_rate,test_nonnull_rate,train_missing_rate,test_missing_rate,train_nunique,test_nunique,train_is_constant,test_is_constant,train_zero_rate,test_zero_rate,train_mean,test_mean,train_std,test_std,train_min,test_min,train_max,test_max,mean_shift_sigma,abs_mean_shift_sigma,median_shift_iqr,abs_median_shift_iqr,std_ratio_test_over_train,iqr_ratio_test_over_train,ks_stat,ks_pvalue,wasserstein,psi,drift_flag,drift_reasons,drift_score,train_q01,test_q01,train_q05,test_q05,train_q25,test_q25,train_q50,test_q50,train_q75,test_q75,train_q95,test_q95,train_q99,test_q99,similarity_score
t17_amplitude_sum_weighted,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,66.0,282.0,False,False,0.802,0.796,0.04214504524052782,0.04216774246826807,0.10994333230750956,0.10660328767037092,0.0,0.0,0.7819965772755713,0.9059687004628859,0.00020644478627009552,0.00020644478627009552,0.0,0.0,0.9696203074073995,0.0,0.0098,0.9999908765958809,0.002343176830027838,8.046606341320806e-06,False,,0.010014491392611416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3056302162855963,0.2886231321879985,0.5,0.4818684596098226,0.9900848042498841
t4_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,4.0,4.0,False,False,0.787,0.7905,0.237,0.2338,0.4848361228972797,0.47933342889225383,0.0,0.0,3.0,3.0,-0.006600168281337717,0.006600168281337717,0.0,0.0,0.9886504042373503,0.0,0.0035,1.0,0.007799999999999918,7.352042102774655e-05,False,,0.010173688702365463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.9899287728277358
t7_recency,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,50.0,51.0,False,False,0.004,0.0036,44.677,44.6515,12.235455748658378,12.329292311194893,0.0,0.0,50.0,50.0,-0.00208410708385709,0.00208410708385709,0.0,0.0,1.0076692331256885,0.0,0.008,0.9999999869373908,0.15249999999999994,0.0004887384413551719,False,,0.010572845525212262,2.0,2.0,13.0,11.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.9895377700162551
t12_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,3.0,5.0,False,False,0.789,0.7921,0.23,0.233,0.4640208134505556,0.4830469267403979,0.0,0.0,2.0,5.0,0.0064652272334185,0.0064652272334185,0.0,0.0,1.0410027152603762,0.0,0.0042,1.0,0.009199999999999986,0.00011982072857033826,False,,0.010785047961988838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.9893300281956738
trend_consistency_w5,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,4.0,4.0,False,False,0.138,0.1364,0.4953333333333333,0.4936666666666667,0.2952566846714508,0.2943386129570215,0.0,0.0,1.0,1.0,-0.005644805869562432,0.005644805869562432,0.0,0.0,0.9968905980352394,0.9999999999970001,0.0062,0.999999999999972,0.002733333333333319,0.000260845580822274,False,,0.012105651450384705,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.9880391425213001
t28_recency,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,49.0,51.0,False,False,0.003,0.0033,45.602,45.6435,11.478211766008908,11.303671308407056,0.0,0.0,50.0,50.0,0.0036155457701955843,0.0036155457701955843,0.0,0.0,0.9847937587177374,0.0,0.0085,0.9999998768358633,0.12510000000000002,1.8300428353715102e-06,False,,0.012117375813030956,2.0,2.0,13.0,15.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.9880276970807886
total_headlines_last10,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,8.0,9.0,False,False,0.134,0.1427,1.95,1.9487,1.3818138114121632,1.4015936488425051,0.0,0.0,7.0,8.0,-0.0009407924492159791,0.0009407924492159791,0.0,0.0,1.014314401307882,0.9999999999995,0.0087,0.9999997284131011,0.03529999999999983,0.002622636645381903,False,,0.012263429094597881,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,4.0,6.0,6.0,0.9878851406243464
t42_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,2.0,3.0,False,False,0.975,0.9763,0.025,0.024,0.15620307103062794,0.15500452457997485,0.0,0.0,1.0,2.0,-0.006401922788045065,0.006401922788045065,0.0,0.0,0.9923269981586315,0.0,0.0013,1.0,0.0015999999999999348,0.005963343753078033,False,,0.013665266541123097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9865189555248822
t10_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,4.0,5.0,False,False,0.784,0.7916,0.237,0.2341,0.476506094460562,0.4834465451900609,0.0,0.0,3.0,4.0,-0.006085966231506233,0.006085966231506233,0.0,0.0,1.014565292677613,0.0,0.0076,0.9999999984371056,0.013699999999999934,0.0003528289903620192,False,,0.014038795221868253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.9861555639803734
t7_amplitude_sum_weighted,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,71.0,281.0,False,False,0.786,0.7934,0.04215702256837922,0.04241796392215399,0.10790927466819429,0.1070003492838644,0.0,0.0,0.9980377494410464,0.951229424500714,0.002418155015634259,0.002418155015634259,0.0,0.0,0.9915769484308342,0.0,0.0121,0.9992048978922858,0.002466039096998749,0.00023548622369732767,False,,0.014753641239331587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26494054392510336,0.3032653298563167,0.475614712250357,0.475614712250357,0.9854608639577653
t7_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,4.0,4.0,False,False,0.786,0.7934,0.237,0.2334,0.48068915326025624,0.48574482478301334,0.0,0.0,3.0,3.0,-0.007489247418161274,0.007489247418161274,0.0,0.0,1.010517548580942,0.0,0.0074,0.9999999995259009,0.011799999999999922,0.00032976008750628977,False,,0.015219007505667565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.9850091385275974
t17_recency,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,50.0,51.0,False,False,0.005,0.0041,44.73,44.6556,12.409234025075403,12.321475987764279,0.0,0.0,50.0,50.0,-0.005995535248158805,0.005995535248158805,0.0,0.0,0.9929280052955095,0.0,0.0092,0.9999984292039497,0.185,9.562508810484402e-05,False,,0.015291160336263649,1.0,2.0,11.950000000000003,12.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.9849391377236072
t28_amplitude_sum_weighted,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,64.0,177.0,False,False,0.828,0.8324,0.034333968637159616,0.0337176346512596,0.09550523961193116,0.0957808379425119,0.0,0.0,0.6107370937075063,0.975614712250357,-0.006453404948230379,0.006453404948230379,0.0,0.0,1.0028856880596047,0.0,0.0088,0.9999996047548504,0.001966496964247614,0.0003280464522814096,False,,0.01558145140051179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2724519009104169,0.24829265189570474,0.45241870901797976,0.4680683562851353,0.9846576053756944
t29_recency,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,50.0,51.0,False,False,0.004,0.0024,45.581,45.5361,11.697703846280058,11.487553837929028,0.0,0.0,50.0,50.0,-0.003838360125203557,0.003838360125203557,0.0,0.0,0.9820349351365361,0.0,0.0118,0.9994858155680741,0.2455,1.6231488551731105e-05,False,,0.01565459161375529,1.9900000000000002,3.0,12.0,14.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.984586697344732
t22_recency,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,50.0,51.0,False,False,0.008,0.0033,44.463,44.4532,12.859860302779612,12.591642653223234,0.0,0.0,50.0,50.0,-0.0007620611553517016,0.0007620611553517016,0.0,0.0,0.9791430355196484,0.0,0.0126,0.9984667423255065,0.283,0.0031451462517125242,False,,0.016507207407064226,1.0,2.0,10.0,10.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.983760855518997
t27_recency,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,50.0,51.0,False,False,0.004,0.0039,45.559,45.4608,11.519949141737921,11.586703091425656,0.0,0.0,50.0,50.0,-0.008524343188651903,0.008524343188651903,0.0,0.0,1.00579463927014,0.0,0.0084,0.9999999188174606,0.1286,0.00019585184981806006,False,,0.01712019503846996,2.0,2.0,13.950000000000003,13.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.9831679725542933
t30_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,3.0,5.0,False,False,0.841,0.8343,0.177,0.1814,0.42644208616511203,0.42604247583911387,0.0,0.0,2.0,4.0,0.010317930951791851,0.010317930951791851,0.0,0.0,0.9990629200541842,0.0,0.0067,0.9999999999969502,0.010399999999999965,0.00028296351199562386,False,,0.017300894463787474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.9829933360346579
t18_amplitude_sum_weighted,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,75.0,288.0,False,False,0.795,0.7919,0.0439178843988994,0.043595393870176226,0.10638548159063611,0.11011839974987504,0.0,0.0,0.6133669332398648,1.0706883046498268,-0.0030313396517868923,0.0030313396517868923,0.0,0.0,1.0350886051591874,0.0,0.0123,0.9989557571986216,0.0032605421109450183,0.002322663319045131,False,,0.017654002970832024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31881407581088667,0.3032653298563167,0.4916223447485241,0.5,0.9826522541853175
t27_amplitude_sum_weighted,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,64.0,191.0,False,False,0.835,0.8275,0.034528057853428225,0.03550169132084905,0.09721773639154803,0.0989586543673745,0.0,0.0,0.7987657680746933,0.884980088789348,0.010014977755596633,0.010014977755596633,0.0,0.0,1.017907411131205,0.0,0.0075,0.9999999991288964,0.001332710837481183,0.000177413286201523,False,,0.017692391041798157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2744058180470132,0.26828841488718497,0.4729625704293945,0.475614712250357,0.9826151878528967
t23_amplitude_sum_weighted,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,69.0,264.0,False,False,0.801,0.7911,0.04321816837219359,0.04366014243373785,0.11073616052937878,0.10883207772163356,0.0,0.0,0.7268245270649929,0.9093653765389909,0.003991235197494604,0.003991235197494604,0.0,0.0,0.9828052300203882,0.0,0.0144,0.9906428401381207,0.002665959783600837,0.00015470837568588527,False,,0.018545943573180488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33516002301781966,0.31881407581088667,0.48215444851092293,0.47565643174343164,0.9817917456839315
t27_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,4.0,4.0,False,False,0.835,0.8275,0.183,0.188,0.43554643920103475,0.43089971856192444,0.0,0.0,3.0,3.0,0.011479832114252872,0.011479832114252872,0.0,0.0,0.98933128543394,0.0,0.0075,0.9999999991288964,0.010000000000000009,0.00040105785127853276,False,,0.019380889965531403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.9809875875089371
t24_recency,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,49.0,51.0,False,False,0.005,0.0045,44.667,44.6291,12.533842515693589,12.341432829555435,0.0,0.0,50.0,50.0,-0.003023813324010014,0.003023813324010014,0.0,0.0,0.9846487870022124,0.0,0.017,0.9520496717965611,0.1949000000000001,0.00022564366292215934,False,,0.020249456986932174,1.9900000000000002,2.0,12.0,12.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.9801524452198835
t28_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,4.0,4.0,False,False,0.828,0.8324,0.188,0.1812,0.43225321611625156,0.42069497076366696,0.0,0.0,3.0,3.0,-0.015731519735310555,0.015731519735310555,0.0,0.0,0.9732604757521357,0.0,0.0044,1.0,0.006800000000000028,0.00013734260715863642,False,,0.020268862342469194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.980133802872379
t22_amplitude_sum_weighted,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,69.0,244.0,False,False,0.797,0.788,0.04448914489041321,0.043963219910063994,0.11283980913311764,0.10962247675242316,0.0,0.0,0.8418191005536821,1.1108671987509386,-0.004660810616261488,0.004660810616261488,0.0,0.0,0.9714876123383861,0.0,0.0126,0.9984667423255065,0.0025357338285894966,0.0030458755708040026,False,,0.020306686187065492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31382256215377763,0.31881407581088667,0.5,0.475614712250357,0.9800974682789225
t41_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,2.0,3.0,False,False,0.974,0.9764,0.026,0.0238,0.15921478998305827,0.15373979183139033,0.0,0.0,1.0,2.0,-0.013817811776282071,0.013817811776282071,0.0,0.0,0.9656125027504283,0.0,0.0024,1.0,0.0026000000000000467,0.0041026093902020305,False,,0.020320421166484103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.980084274758264
t24_amplitude_sum_weighted,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,69.0,246.0,False,False,0.807,0.7948,0.042247345168283504,0.04191674839847963,0.10871866229700711,0.1052569112563258,0.0,0.0,0.7640896174406003,0.9288489977625265,-0.003040846555834931,0.003040846555834931,0.0,0.0,0.9681586310159671,0.0,0.0172,0.9473095175693547,0.0020737681017238482,0.00041215537938732265,False,,0.020653001935222254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3032653298563167,0.2884749051902433,0.47585856512785324,0.475614712250357,0.9797649133485495
t39_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,3.0,4.0,False,False,0.895,0.8908,0.112,0.1176,0.33700084505764905,0.3486866763153189,0.0,0.0,2.0,3.0,0.016617169013405333,0.016617169013405333,0.0,0.0,1.0346759701882533,0.0,0.0042,1.0,0.005599999999999938,0.00014767927843618368,False,,0.020964848291841517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9794656512152036
t14_recency,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,51.0,51.0,False,False,0.004,0.0042,44.78,44.6813,12.005654323515056,12.410605650944772,0.0,0.0,50.0,50.0,-0.008221126257706124,0.008221126257706124,0.0,0.0,1.0337300505675495,0.0,0.0123,0.9989557571986216,0.2599,0.0007442901199715077,False,,0.021265416377677634,1.9900000000000002,2.0,13.0,11.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.9791773851961973
t29_amplitude_sum_weighted,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,67.0,193.0,False,False,0.842,0.8302,0.03585066560449205,0.034862785945484094,0.10379924175183546,0.09778232944127394,0.0,0.0,0.8279587571097138,1.0525978941448761,-0.00951721459931542,0.00951721459931542,0.0,0.0,0.9420331766402603,0.0,0.0118,0.9994858155680741,0.002953788201456126,3.884391784586786e-05,False,,0.021356058517161287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3032653298563167,0.2744058180470132,0.5,0.475614712250357,0.979090486281379
t8_recency,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,51.0,51.0,False,False,0.004,0.0049,44.545,44.4249,12.60217401045509,12.676625326677732,0.0,0.0,50.0,50.0,-0.009530101703115126,0.009530101703115126,0.0,0.0,1.005907815283289,0.0,0.0114,0.9997280612087112,0.18529999999999996,0.0006488281109326965,False,,0.021578929814047822,2.99,2.0,11.0,10.950000000000045,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.9788768844146231
t4_amplitude_sum_weighted,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,179.0,722.0,False,False,0.787,0.7905,0.04127463898488091,0.04192521007948673,0.12182636424554091,0.11967720105823304,0.0,0.0,1.200726361101368,1.4458687252410853,0.005340150292011122,0.005340150292011122,0.0,0.0,0.9823588005634101,0.0,0.0135,0.9958399510072623,0.003391435094159228,0.003345139217680479,False,,0.0221852895096916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26367335183595386,0.28,0.6203614974521858,0.6065306597126334,0.9782962152386939
t26_amplitude_sum_weighted,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,60.0,190.0,False,False,0.839,0.8266,0.03397923659393356,0.03493583552256969,0.09924361790483151,0.09663139313329917,0.0,0.0,0.7788800421066737,0.9093653765389909,0.009638896171074794,0.009638896171074794,0.0,0.0,0.9736786623900493,0.0,0.0124,0.9988093234918949,0.0026677142753700903,0.00034356078425052235,False,,0.022382456955325314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2489291637199443,0.261022888380508,0.475614712250357,0.46418593131805785,0.978107549867414
t13_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,4.0,5.0,False,False,0.791,0.7847,0.231,0.2388,0.47314148292330366,0.48145377740129675,0.0,0.0,3.0,4.0,0.01648555512780497,0.01648555512780497,0.0,0.0,1.0175683062614127,0.0,0.0063,0.9999999999999217,0.007800000000000029,0.00023162767385866492,False,,0.023017182801663635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.9775006879761021
unique_templates_last10,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,7.0,9.0,False,False,0.134,0.1427,1.864,1.8726,1.30736881300313,1.3202816193356004,0.0,0.0,6.0,8.0,0.006578097866843312,0.006578097866843312,0.0,0.0,1.0098769423004659,0.9999999999995,0.0131,0.9972594678614348,0.03780000000000011,0.003357367916337067,False,,0.02303546578318038,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,0.977483218760607
t44_recency,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,21.0,51.0,False,False,0.001,0.0002,49.437,49.3657,4.3647545271277375,4.520376852729102,0.0,0.0,50.0,50.0,-0.016335397456338517,0.016335397456338517,0.0,0.0,1.0356543133486908,0.0,0.0041,1.0,0.09430000000000001,0.003162352537603708,False,,0.023597749993942225,25.950000000000003,19.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.9769462662514823
t43_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,2.0,3.0,False,False,0.973,0.9759,0.027,0.0243,0.16216441439877397,0.15528013779012179,0.0,0.0,1.0,2.0,-0.01664976875471493,0.01664976875471493,0.0,0.0,0.957547550520666,0.0,0.0029,1.0,0.0030999999999999917,0.004209467143584003,False,,0.023759235898298935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9767921645391053
t0_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,7.0,9.0,False,False,0.211,0.1991,1.602,1.6165,1.27248387621031,1.277415722892477,0.0,0.0,6.0,8.0,0.011395036330968859,0.011395036330968859,0.0,0.0,1.0038757635938391,0.9999999999989999,0.0119,0.9994031635654964,0.028099999999999875,0.0012416968806446865,False,,0.024536733211613544,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,5.0,5.0,0.9760508994785396
t44_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,2.0,3.0,False,False,0.978,0.9751,0.022,0.025,0.1467567291047928,0.15677199286152668,0.0,0.0,1.0,2.0,0.020441992801825033,0.020441992801825033,0.0,0.0,1.0682439832010304,0.0,0.0029,1.0,0.0030000000000000027,0.0021861233720117516,False,,0.025528116173836785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9751073463796583
t42_recency,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,25.0,49.0,False,False,0.001,0.0009,49.29,49.3732,5.09626057731273,4.64220602382927,0.0,0.0,50.0,50.0,0.01632569581908097,0.01632569581908097,0.0,0.0,0.9109043686844217,0.0,0.0037,1.0,0.08579999999999999,0.005800542375753894,False,,0.025826238194834865,14.98,18.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.9748239641049913
